"State,move",QValue
"('---------', 1)",0.0
"('---------', 2)",0.0
"('---------', 3)",0.0
"('---------', 4)",0.0
"('---------', 5)",0.0
"('---------', 6)",0.0
"('---------', 7)",0.0
"('---------', 8)",0.0
"('--------X', 1)",0.0
"('--------X', 2)",0.0
"('--------X', 3)",0.0
"('--------X', 4)",0.0
"('--------X', 5)",0.0
"('--------X', 6)",0.0
"('--------X', 7)",0.0
"('-------OX', 1)",0.0
"('-------OX', 2)",0.0
"('-------OX', 3)",0.0
"('-------OX', 4)",0.0
"('-------OX', 5)",0.0
"('-------OX', 6)",0.0
"('-------X-', 1)",0.0
"('-------X-', 2)",0.0
"('-------X-', 3)",0.0
"('-------X-', 4)",0.0
"('-------X-', 5)",0.0
"('-------X-', 6)",0.0
"('-------X-', 8)",0.0
"('-------XO', 1)",0.0
"('-------XO', 2)",0.0
"('-------XO', 3)",0.0
"('-------XO', 4)",0.0
"('-------XO', 5)",0.0
"('-------XO', 6)",0.0
"('------O-X', 1)",0.0
"('------O-X', 2)",0.0
"('------O-X', 3)",0.0
"('------O-X', 4)",0.0
"('------O-X', 5)",0.0
"('------O-X', 7)",0.0
"('------OX-', 1)",0.0
"('------OX-', 2)",0.0
"('------OX-', 3)",0.0
"('------OX-', 4)",0.0
"('------OX-', 5)",0.0
"('------OX-', 8)",0.0
"('------OXX', 1)",0.0
"('------OXX', 2)",0.0
"('------OXX', 3)",0.0
"('------OXX', 4)",0.0
"('------OXX', 5)",0.0
"('------X--', 1)",0.0
"('------X--', 2)",0.0
"('------X--', 3)",0.0
"('------X--', 4)",0.0
"('------X--', 5)",0.0
"('------X--', 7)",0.0
"('------X--', 8)",0.0
"('------X-O', 1)",0.0
"('------X-O', 2)",0.0
"('------X-O', 3)",0.0
"('------X-O', 4)",0.0
"('------X-O', 5)",0.0
"('------X-O', 7)",0.0
"('------XO-', 1)",0.0
"('------XO-', 2)",0.0
"('------XO-', 3)",0.0
"('------XO-', 4)",0.0
"('------XO-', 5)",0.0
"('------XO-', 8)",0.0
"('------XOX', 1)",0.0
"('------XOX', 2)",0.0
"('------XOX', 3)",0.0
"('------XOX', 4)",0.0
"('------XOX', 5)",0.0
"('------XXO', 1)",0.0
"('------XXO', 2)",0.0
"('------XXO', 3)",0.0
"('------XXO', 4)",0.0
"('------XXO', 5)",0.0
"('-----O--X', 1)",0.0
"('-----O--X', 2)",0.0
"('-----O--X', 3)",0.0
"('-----O--X', 4)",0.0
"('-----O--X', 6)",0.0
"('-----O--X', 7)",0.0
"('-----O-X-', 1)",0.0
"('-----O-X-', 2)",0.0
"('-----O-X-', 3)",0.0
"('-----O-X-', 4)",0.0
"('-----O-X-', 6)",0.0
"('-----O-X-', 8)",0.0
"('-----O-XX', 1)",0.8539194625003994
"('-----O-XX', 2)",0.8903309401289753
"('-----O-XX', 3)",0.8957964813493428
"('-----O-XX', 4)",0.878299327625916
"('-----O-XX', 6)",0.0
